BNF Code,BNF Name,ADQ Value,ADQ Unit
010101000BBABA0,Langdales_Cinnamon Tab,N/A,N/A
0101010C0AAAAAA,Alum Hydrox_Cap 475mg,N/A,N/A
0101010C0BBAAAA,Alu-Cap_Cap 475mg,N/A,N/A
0101010F0AAAUAU,Mag Carb_Heavy Cap 500mg,N/A,N/A
0101010G0AAABAB,Co-Magaldrox_Susp 195mg/220mg/5ml S/F,N/A,N/A
0101010G0BBABAB,Maalox_Susp 195mg/220mg/5ml S/F,N/A,N/A
0101010G0BCABAB,Mucogel_Susp 195mg/220mg/5ml S/F,N/A,N/A
0101010I0AAABAB,Mag Ox_Cap 100mg,N/A,N/A
0101010I0AAACAC,Mag Ox_Cap 160mg,N/A,N/A
0101010I0AAADAD,Mag Ox_Cap 200mg,N/A,N/A
0101010I0AAAEAE,Mag Ox_Tab 100mg,N/A,N/A
0101010I0AAAHAH,Mag Ox_Cap 400mg,N/A,N/A
0101010I0AAALAL,Mag Ox_Tab 160mg,N/A,N/A
0101010I0AAAXAX,Mag Ox_Tab 500mg,N/A,N/A
0101010I0AAAYAY,Mag Ox_Cap 500mg,N/A,N/A
0101010I0AABIBI,Mag Ox_Tab 400mg,N/A,N/A
0101010I0BEAAAC,Oromag 160_Cap,N/A,N/A
0101010J0AAAAAA,Mag Trisil_Mix,30,ML
0101010J0AAAHAH,Mag Trisil Co_Tab,N/A,N/A
0101010L0AAAIAI,Gppe Susp_Maalox Plus S/F,30,
0101010L0BBABAA,Asilone_Susp S/F,30,
0101010L0BEAAAI,Maalox Plus_Susp S/F,30,
0101010N0AAABAB,Antacid/Oxetacaine_Oral Susp,N/A,N/A
0101010P0AAAAAA,Co-Simalcite_Susp 125mg/500mg/5ml S/F,N/A,N/A
0101010P0BBAAAA,Altacite Plus_Susp 125mg/500mg/5ml S/F,N/A,N/A
0101010Q0AAAAAA,Mag Hydrox_Oral Susp 415mg/5ml S/F,N/A,N/A
0101010Q0BDACAA,Phillips Milk Of Magnesia_Liq (Mint),N/A,N/A
0101010R0AAAAAA,Simeticone_Cap 100mg,N/A,N/A
0101010R0AAABAB,Simeticone_Susp 40mg/ml S/F,N/A,N/A
0101010R0AAADAD,Simeticone_Dps 21mg/2.5ml,N/A,N/A
0101010R0AAAEAE,Simeticone_Tab Chble 125mg,N/A,N/A
0101010R0AAAHAH,Simeticone_Cap 125mg,N/A,N/A
0101010R0BCAAAB,Infacol_Susp 40mg/ml S/F,N/A,N/A
0101010R0BEAAAD,Dentinox_Infant Colic Dps,N/A,N/A
0101010R0BFAAAE,Wind-Eze_Tab Chble 125mg,N/A,N/A
0101010R0BFABAH,Wind-Eze_Gelcap 125mg,N/A,N/A
0101010R0BHAAAA,WindSetlers_Cap 100mg,N/A,N/A
0101010U0AAAAAA,Sod Cit_Oral Soln 441.17mg/5ml,N/A,N/A
0101010U0BBAAAA,Sodium Citrate 0.3M_Oral Soln,N/A,N/A
0101012A0BBAAAA,Woodward's_Gripe Water S/F Alcohol Free,N/A,N/A
0101012B0AAABAB,Sod Bicarb_Oral Soln 420mg/5ml S/F,N/A,N/A
0101012B0AAALAL,Sod Bicarb_Paed Mix 50mg/5ml BPC,N/A,N/A
0101012B0AAAPAP,Sod Bicarb_(S),N/A,N/A
0101012B0AAATAT,Sod Bicarb_Pdrs 4.2g,N/A,N/A
0101012B0AAAUAU,Sod Bicarb_Liq Spec 420mg/5ml,N/A,N/A
0101012B0AAAVAV,Sod Bicarb_Liq Spec 210mg/5ml,N/A,N/A
0101012B0AAAZAZ,Sod Bicarb_Liq Spec 333mg/5ml,N/A,N/A
0101012B0AABDBD,Sod Bicarb_Liq Spec 70mg/5ml,N/A,N/A
0101012B0AABMBM,Sod Bicarb_Liq Spec 336mg/5ml,N/A,N/A
0101012B0AABSBS,Sod Bicarb_Liq Spec 50mg/5ml,N/A,N/A
0101012B0AABWBW,Sod Bicarb_Oral Soln 420mg/5ml,N/A,N/A
0101012B0BCAAAB,SodiBic_Oral Soln 420mg/5ml,N/A,N/A
0101012B0BEAABV,Nurse Harveys_Gripe Mix,N/A,N/A
0101012B0BIAAAB,Thamicarb_Oral Soln 84mg/ml,N/A,N/A
010102100AAABAB,Gppe Tab_Rennie Deflatine,N/A,N/A
010102100AAAFAF,Calc Carb/Mag Carb Heavy_Tab 680mg/80mg,N/A,N/A
010102100AAAGAG,Bism Subsalic_Oral Susp 87.5mg/5ml S/F,N/A,N/A
010102100AAAHAH,Calc Carb/Mag Carb Heavy_Tab 680/80mgS/F,N/A,N/A
010102100AAAIAI,Bism Subsalic_Tab 262.5mg Chble S/F,N/A,N/A
010102100BBABAB,Rennie Deflatine_Tab,N/A,N/A
010102100BBAMA0,Bisodol Indigest Relief_Tab,N/A,N/A
010102100BBAQAF,Rennie Peppermint_Tab Chble,N/A,N/A
010102100BBARAF,Rennie Spearmint_Tab Chble,N/A,N/A
010102100BBAZA0,Rennie_Extra Tab Chble,N/A,N/A
010102100BBBAAH,Rennie_Sugar Free Tab Chble,N/A,N/A
010102100BBBCAF,Rennie Ice_Tab Chble,N/A,N/A
010102100BBBDAI,Pepto-Bismol_Tab 262.5mg Chble,N/A,N/A
0101021B0AAAGAG,Gppe Tab_Gaviscon Chble,N/A,N/A
0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,N/A,N/A
0101021B0AAAJAJ,Gppe Pdr Sach_Gaviscon Infant (2 D Dual),N/A,N/A
0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F,N/A,N/A
0101021B0AAAMAM,Gppe Liq Sach_Gaviscon 10ml S/F,N/A,N/A
0101021B0AAAPAP,Sod Alginate/Pot Bicarb_Tab Chble 500mg,N/A,N/A
0101021B0BCAAAC,Gastrocote_Tab,N/A,N/A
0101021B0BCABAI,Gastrocote_Liq S/F,N/A,N/A
