0101010Q0BDACAA	0101010Q0BDACAG
0101021B0BEALA0	0101021B0BEALAG
0101021B0BEAMA0	0101021B0BEAMAG
0101021B0BNAAA0	0101021B0BNAAAC
0104020L0BPAAA0	0104020L0BPAAAM
0206010K0BXAAAP	0206010K0CUAAAP
0206010K0BXABAQ	0206010K0CUABAQ
0208010AEAAAAAA	0208040A0AAAAAA
0208010AEBBAAAA	0208040A0BBAAAA
0302000W0AAAAAA	0304020Z0AAAAAA
0302000W0AAABAB	0304020Z0AAABAB
0302000W0BBAAAA	0304020Z0BBAAAA
0302000W0BBABAB	0304020Z0BBABAB
0307000C0BEACAJ	0307000C0BEACAR
0307000C0BFACAJ	0307000C0BFACAR
0405010T0AAAAAA	0405020U0AAAAAA
0405010T0BBAAAA	0405020U0BBAAAA
0407010X0BTAGA0	0407010X0BTAGBC
0407010X0BTAHA0	0407010X0BTAHBC
0407010X0BTAPA0	0407010X0BTAPBC
0407010X0CDARA0	0407010X0CDARAF
0407010X0CDATA0	0407010X0CDATAF
0407010X0CDAVA0	0407010X0CDAVBI
0407010X0CPABA0	0407010X0CPABAF
0407010X0CQAAA0	0407010X0CQAAAF
0407010X0CQABA0	0407010X0CQABAF
0407010X0CRAEA0	0407010X0CRAEBI
0407010X0CYACA0	0407010X0CYACAF
0407010X0DEACA0	0407010X0DEACBI
0411000H0AAAAAA	1108030ABAAAAAA
0411000H0AAABAB	1108030ABAAABAB
0411000H0AAACAC	1108030ABAAACAC
0411000H0BBAAAC	1108030ABBBAAAC
0501090N0BBAAAA	0501090N0BBABCJ
050301000BBAAA0	050301000BBAAAA
0607020Y0AAAAAA	0803042S0AAACAC
0607020Y0BBAAAA	0803042S0BDAAAC
0801030L0BCAAAE	0801030L0BCABAQ
0801050BXAAAAAA	0801030AFAAAAAA
0801050BXAAABAB	0801030AFAAABAB
0801050BXBBAAAA	0801030AFBBAAAA
0801050BXBBABAB	0801030AFBBABAB
0802020V0AAABAB	0802040AZAAAAAA
0802020V0BCAAAB	0802040AZBBAAAA
0802040AVAAAAAA	0801050CHAAAAAA
0802040AVAAABAB	0801050CHAAABAB
0802040AVBBAAAA	0801050CHBBAAAA
0802040AVBBABAB	0801050CHBBABAB
0802040AWAAAAAA	0801050CIAAAAAA
0802040AWBBAAAA	0801050CIBBAAAA
0802040AXAAAAAA	0801050CGAAAAAA
0802040AXAAABAB	0801050CGAAABAB
0802040AXBBAAAA	0801050CGBBAAAA
0802040AXBBABAB	0801050CGBBABAB
0902012H0BIADA0	0902012H0BIADAF
0902012L0BDAADC	0902012L0BDAADD
0902012L0BEAADC	0902012L0BEAADD
0902021G0BBAAA0	0902021G0BBAABD
0902021G0BBABA0	0902021G0BBABBC
0902021G0BBAGA0	0902021G0BBAGBG
0902021G0BBAIA0	0902021G0BBAIAU
0902021G0BFAAA0	0902021G0BFAABD
0902021G0BFABA0	0902021G0BFABBC
0902021G0BFAEA0	0902021G0BFAEA3
0902021G0BFAFA0	0902021G0BFAFAU
0902021N0BBACA0	0902021N0BBACBF
0902021N0BBAFA0	0902021N0BBAFBG
0902021N0BDAKA0	0902021N0BDAKBG
0902021S0BBAAA0	0902021S0BBAACQ
0902021S0BCAAA0	0902021S0BCAADE
0902021S0BDABA0	0902021S0BDABCJ
0902021S0BDACA0	0902021S0BDACBP
0902021S0BDAFA0	0902021S0BDAFBU
0902021S0BDAGA0	0902021S0BDAGBQ
0902021S0BDAIA0	0902021S0BDAIBD
0903000P0BNAAA0	0905021S0BBAAAB
090401000BBESA0	091101000BBUPDU
0905013G0BBAAAY	0905013G0BBAADE
0905013G0BCACAY	0905013G0BCACDE
0905013G0BEAAAY	0905013G0BEAADE
0905013G0BGABAY	0905013G0BGABDE
090504100BBBRA0	090504100BBBRBB
090504100BBHDA0	090504100BBHDBB
090504700BBDGA0	090504700BBDGBC
090504700BBDNA0	090504700BBDNBJ
090504700BBEYA0	090504700BBEYBK
090504700BBFDA0	090504700BBFDBC
090601100BBDQA0	0906011H0DJABAH
090601100BBEMA0	0906011H0BKAFAG
090601100BBETA0	0906011H0DJAAAG
090601100BBEVA0	0906011H0BQACAH
090601100BBFEA0	0906011H0BDALAG
090601100BBFSA0	0906011H0DKAAAH
090601100BBGBA0	0906011H0BDAKAG
090601100BBGCA0	0906011H0BDAMAF
090602500BBAFA0	0906025P0BJAABF
090602500BBBCA0	0906025P0BMAAAU
090602500BBBEA0	0906025P0BLAABM
090602500BBBHA0	0906025P0BKAABF
090602800BBIPA0	090602800BBIPAL
090603100BBFZA0	0906031C0CEAAAL
090603100BBGIA0	0906031C0CFAAAL
090603100BBHIA0	0906031C0CDACBW
090603100BBHQA0	0906031C0BUABAN
090603100BBHUA0	0906031C0BNADAN
0906031C0BYAAA0	0906031C0BYAH
0906031C0BYABA0	0906031C0BYABAI
0906040G0BFABBR	0906040G0BFABEL
