0101021C0AADADA	0905011D0AAAPAP
0101021C0BMAADA	0905011D0BJABAP
0106020M0AAATAT	0106020V0AAABAB
0106020M0BBAGAT	0106020V0BCABAB
0106020M0BBAHAT	0106020V0BCAAAB
0106020M0BNAAAC	0106020V0BDABAA
0106020M0BNABAC	0106020V0BDAAAA
0302000V0BCAAA0	0302000Z0BBAAAA
0309020H0BKAAAI	0309020H0BJAFAI
0407020A0BYAACA	0407020A0BYAKCF
0407020A0BYABBX	0407020A0BYAGCB
0407020A0BYACBZ	0407020A0BYAHCC
0407020A0BYADAZ	0407020A0BYAICD
0407020A0BYAEBY	0407020A0BYAJCE
0407020A0BYAFBB	0407020A0BYALCG
0702020H0BBACAC	1310020J0BBABAB
090401000AABTBT	0908010AUAAAAAA
090401000AABUBU	0913445A0AAAHAH
090401000AABVBV	0908010AIAAACAC
090401000AACPCP	0913191A0AAAAAA
090401000AACQCQ	0913444A0AAABAB
090401000AACRCR	0913591A0AAAAAA
090401000AACSCS	0913521A0AAABAB
090401000AACTCT	0913521C0AAAAAA
090401000BBNCA0	0913572A0BBAAAA
090401000BBPNA0	0913571A0BBAAAA
090401000BBPUBT	0908010AUBBAAAA
090401000BBQBA0	0913461K0BCAAAB
090401000BBUMA0	0913531A0BDAAAC
090401000BBUZA0	0913621A0AAABAB
090401000BBUZA0	0913621A0BCAAAB
090401000BBWYCP	0913191A0BBAAAA
090401000BBWZCQ	0913444A0BCAAAB
090401000BBXACR	0913591A0BBAAAA
090401000BBXBCS	0913521A0BBADAB
090401000BBXCCS	0913521A0BBAGAB
090401000BBXDCS	0913521A0BBAFAB
090401000BBXECS	0913521A0BBAEAB
090401000BBXFCS	0913521B0BBABAB
090401000BBXGCT	0913521C0BBABAA
090401000BBXHCT	0913521C0BBAAAA
090401030BXACAK	0913461K0BBADAD
090401030BXADAK	0913461K0BBACAC
090401030BXAFAK	0913461B0BDAAAC
090401030BXAIAK	0913461D0BDAAAC
090401030CBAAAK	0913461C0BHAGBB
090401030CBACAK	0913461K0BEABAG
090401030CBADAK	0913461C0BHAFBA
090401030CBAGAK	0913461B0BCACAE
090401030CBAMAK	0913461K0BEAAAF
090401030CEADAK	0913461K0BDAAAE
090401030CEAFAK	0913461B0BEAAAD
090401030CEAGAK	0913461C0BGACAZ
090401030CFAAAK	0913461D0BCABAD
090401070BDABAI	0913461C0BCADAU
090401070BDACAI	0913461C0BCACAT
090401070BDADAI	0913461C0BCABAS
090401070BDAEAI	0913461C0BCAEAV
090401070BGADAI	0913461C0BEAFAX
090401070BGAGAI	0913461C0BEAGAY
090401070BGAJAI	0913461C0BEAEAW
0904010A0BGAIBF	0913461J0BFAAAF
0904010A0BGARBF	0913461I0BGAAAH
0904010A0BGATBF	0913461J0BFABAF
0904010A0BGAUBF	0913461J0BFACAF
0904010A0BGAVBF	0913461J0BFAGAF
0904010A0BGAWBF	0913461J0BFAHAF
0904010A0BGAXBF	0913461I0BGACAH
0904010A0BGAYBF	0913461I0BGADAH
0904010A0BGAZBF	0913461J0BFAFAF
0904010A0BGBABF	0913461I0BGABAH
0904010A0BGBBBF	0913461J0BFAEAF
0904010A0BGBCBF	0913461J0BFADAF
0904010A0BKAABF	0913461K0BBAAAA
0904010A0BKACBF	0913461I0BFABAD
0904010A0BKAEBF	0913461I0BFAAAD
0904010A0BKAGBF	0913461J0BDADAC
0904010A0BKAHBF	0913461J0BDAEAC
0904010A0BKAJBF	0913461J0BDAAAC
0904010A0BKAKBF	0913461K0BBABAA
0904010A0BKALBF	0913461J0BDABAC
0904010A0BKAMBF	0913461J0BDACAC
0904010A0BPABBF	0913461I0BEAAAE
0904010A0BPACBF	0913461J0BEAAAD
0904010A0BPADBF	0913461I0BEACAE
0904010A0BPAEBF	0913461I0BEABAE
0904010A0BPAFBF	0913461I0BEAEAG
0904010A0BPAGBF	0913461J0BEACAE
0904010A0BPAHBF	0913461J0BEABAD
0904010A0BPAKBF	0913461I0BEADAF
0904010A0BRAABF	0913461I0BHAAAI
0904010ABBHAAAB	0913461K0BEACAH
0904010ABBHADAD	0913451I0BBAAAA
0904010ACBEABAC	0913461A0BBABAG
0904010ACBGACAC	0913461A0BFABAK
0904010ACBGADAC	0913461A0BFAAAJ
0904010ACBIAAAC	0913461A0BDAEAI
0904010ACBIACAC	0913461A0BDAFAI
0904010ACBIAEAC	0913461A0BDADAH
