Code,Name,Alternative code,Formulation,Alternative name,Alternative formulation,Really equivalent?
0101010I0AAABAB,Magnesium oxide 100mg capsules,0101010I0AAAEAE,Oral capsule,Magnesium oxide 100mg tablets,Oral tablet,Y
0101010I0AAACAC,Magnesium oxide 160mg capsules,0101010I0AAALAL,Oral capsule,Magnesium oxide 160mg tablets,Oral tablet,Y
0101010I0AAAEAE,Magnesium oxide 100mg tablets,0101010I0AAABAB,Oral tablet,Magnesium oxide 100mg capsules,Oral capsule,Y
0101010I0AAAHAH,Magnesium oxide 400mg capsules,0101010I0AABIBI,Oral capsule,Magnesium oxide 400mg tablets,Oral tablet,Y
0101010I0AAALAL,Magnesium oxide 160mg tablets,0101010I0AAACAC,Oral tablet,Magnesium oxide 160mg capsules,Oral capsule,Y
0101010I0AAAMAM,Magnesium oxide 250mg capsules,0101010I0AABSBS,Oral capsule,Magnesium oxide 250mg tablets,Oral tablet,Y
0101010I0AAAXAX,Magnesium oxide 500mg tablets,0101010I0AAAYAY,Oral tablet,Magnesium oxide 500mg capsules,Oral capsule,Y
0101010I0AAAYAY,Magnesium oxide 500mg capsules,0101010I0AAAXAX,Oral capsule,Magnesium oxide 500mg tablets,Oral tablet,Y
0101010I0AABIBI,Magnesium oxide 400mg tablets,0101010I0AAAHAH,Oral tablet,Magnesium oxide 400mg capsules,Oral capsule,Y
0101010I0AABQBQ,Magnesium oxide 375mg capsules,0101010I0AABRBR,Oral capsule,Magnesium oxide 375mg tablets,Oral tablet,Y
0101010I0AABRBR,Magnesium oxide 375mg tablets,0101010I0AABQBQ,Oral tablet,Magnesium oxide 375mg capsules,Oral capsule,Y
0101010I0AABSBS,Magnesium oxide 250mg tablets,0101010I0AAAMAM,Oral tablet,Magnesium oxide 250mg capsules,Oral capsule,Y
0101010U0AAAAAA,Sodium citrate 441.17mg/5ml oral solution,0704030J0AAAJAJ,Oral solution,Sodium citrate 441.15mg/5ml oral solution,Oral solution,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0AAAUAU,Oral solution,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,Oral solution,Y
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,0101012B0AAAUAU,Oral solution,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,Oral suspension,Y
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution,0101012B0AAABAB,Oral solution,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,Oral solution,Y
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral suspension,0101012B0AAABAB,Oral suspension,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,Oral solution,Y
0101012B0AABSBS,Sodium bicarbonate 50mg/5ml oral suspension,0101012B0AABXBX,Oral suspension,Sodium bicarbonate 50mg/5ml oral solution,Oral solution,Y
0101012B0AABXBX,Sodium bicarbonate 50mg/5ml oral solution,0101012B0AABSBS,Oral solution,Sodium bicarbonate 50mg/5ml oral suspension,Oral suspension,Y
